study_name, sample_id,NCBI_accession
ShaoY_2019,e258db56-7ae6-11e9-a106-68b59976a384,ERR3405784
ShaoY_2019,e2452020-7ae6-11e9-a106-68b59976a384,ERR3406033
ShaoY_2019,e21cdd36-7ae6-11e9-a106-68b59976a384,ERR3405798
ShaoY_2019,dffb9da8-7ae6-11e9-a106-68b59976a384,ERR3405953
ShaoY_2019,e208e83a-7ae6-11e9-a106-68b59976a384,ERR3405781
ShaoY_2019,e1cdaff4-7ae6-11e9-a106-68b59976a384,ERR3405524
ShaoY_2019,e1b91e2c-7ae6-11e9-a106-68b59976a384,ERR3405523
ShaoY_2019,e1a5156c-7ae6-11e9-a106-68b59976a384,ERR3406086
ShaoY_2019,e1910fae-7ae6-11e9-a106-68b59976a384,ERR3405795
ShaoY_2019,e17d10c6-7ae6-11e9-a106-68b59976a384,ERR3405782
ShaoY_2019,e1694d3e-7ae6-11e9-a106-68b59976a384,ERR3406220
ShaoY_2019,e1e18826-7ae6-11e9-a106-68b59976a384,ERR3405525
ShaoY_2019,dfe88cc2-7ae6-11e9-a106-68b59976a384,ERR3405790
ShaoY_2019,dfd6046c-7ae6-11e9-a106-68b59976a384,ERR3406035
ShaoY_2019,dfc63136-7ae6-11e9-a106-68b59976a384,ERR3405789
ShaoY_2019,de362b3c-7ae6-11e9-a106-68b59976a384,ERR3405306
ShaoY_2019,de1beae2-7ae6-11e9-a106-68b59976a384,ERR3405305
ShaoY_2019,de028ad4-7ae6-11e9-a106-68b59976a384,ERR3405304
ShaoY_2019,dde9b9e6-7ae6-11e9-a106-68b59976a384,ERR3405303
ShaoY_2019,ddd0c454-7ae6-11e9-a106-68b59976a384,ERR3406216
ShaoY_2019,ddb7b3ce-7ae6-11e9-a106-68b59976a384,ERR3406119
ShaoY_2019,de4e7a84-7ae6-11e9-a106-68b59976a384,ERR3405307
ShaoY_2019,dd9e65b8-7ae6-11e9-a106-68b59976a384,ERR3405193
ShaoY_2019,dd6c975e-7ae6-11e9-a106-68b59976a384,ERR3405950
